"","GBP.USD"
"1",1.2342
"2",1.2342
"3",1.22801
"4",1.226785
"5",1.234255
"6",1.236225
"7",1.22858
"8",1.22859
"9",1.21976
"10",1.215575
"11",1.21566
"12",1.22247
"13",1.217445
"14",1.218425
"15",1.2184
"16",1.20504
"17",1.219185
"18",1.233085
"19",1.229455
"20",1.23336
"21",1.23745
"22",1.23749
"23",1.24405
"24",1.24999
"25",1.25583
"26",1.261935
"27",1.25611
"28",1.254865
"29",1.25487
"30",1.253925
"31",1.25116
"32",1.260485
"33",1.262545
"34",1.25079
"35",1.248385
"36",1.2484
"37",1.24744
"38",1.244205
"39",1.25076
"40",1.25302
"41",1.249105
"42",1.248755
"43",1.24876
"44",1.250475
"45",1.250055
"46",1.24494
"47",1.248065
"48",1.24602
"49",1.24123
"50",1.24121
"51",1.244335
"52",1.24464
"53",1.24711
"54",1.247965
"55",1.25297
"56",1.246195
"57",1.24621
"58",1.2431
"59",1.24303
"60",1.23481
"61",1.22776
"62",1.22571
"63",1.229825
"64",1.22984
"65",1.22695
"66",1.22173
"67",1.21816
"68",1.216505
"69",1.216235
"70",1.216505
"71",1.21651
"72",1.220335
"73",1.217015
"74",1.21989
"75",1.230435
"76",1.23662
"77",1.239535
"78",1.239535
"79",1.238515
"80",1.24171
"81",1.24716
"82",1.24975
"83",1.249205
"84",1.24736
"85",1.24736
"86",1.25527
"87",1.25404
"88",1.242395
"89",1.245445
"90",1.24877
"91",1.25518
"92",1.25518
"93",1.251475
"94",1.245725
"95",1.24618
"96",1.247825
"97",1.2432
"98",1.23711
"99",1.23711
"100",1.23964
"101",1.243945
"102",1.24959
"103",1.25383
"104",1.251595
"105",1.25255
"106",1.25255
"107",1.25513
"108",1.265215
"109",1.282225
"110",1.280615
"111",1.279815
"112",1.28098
"113",1.28098
"114",1.280025
"115",1.28076
"116",1.283295
"117",1.28809
"118",1.29246
"119",1.29502
"120",1.29502
"121",1.291825
"122",1.29064
"123",1.291935
"124",1.28891
"125",1.293805
"126",1.2981
"127",1.2981
"128",1.295735
"129",1.293765
"130",1.29483
"131",1.291055
"132",1.287875
"133",1.28881
"134",1.28881
"135",1.290635
"136",1.2908
"137",1.294065
"138",1.298215
"139",1.298775
"140",1.30352
"141",1.30352
"142",1.30014
"143",1.2984
"144",1.296305
"145",1.296575
"146",1.28602
"147",1.2805
"148",1.2805
"149",1.283145
"150",1.284035
"151",1.28401
"152",1.28738
"153",1.287645
"154",1.28916
"155",1.28916
"156",1.289135
"157",1.29082
"158",1.29195
"159",1.29491
"160",1.27389
"161",1.274295
"162",1.274295
"163",1.2708
"164",1.270095
"165",1.276075
"166",1.274605
"167",1.27737
"168",1.27806
"169",1.27806
"170",1.2768
"171",1.268625
"172",1.26433
"173",1.266925
"174",1.271195
"175",1.271845
"176",1.271845
"177",1.27361
"178",1.275235
"179",1.28544
